countryName,countryCode,emissionPerCap,totalEmission,continent
테스나,A,27.2,27.2,"전문, 과학 및 기술 서비스업"
테이팩스,A,22.2,22.2,제조업
테크밸리,A,55,55,제조업
테크윙,A,14.6,14.6,제조업
텍셀네트컴,A,37.4,37.4,정보통신업
텔라움,A,41.3,41.3,제조업
텔레칩스,A,14.4,14.4,제조업
텔레필드,A,44.6,44.6,제조업
텔루스,A,7.4,7.4,제조업
텔코웨어,A,14,14,정보통신업
텔콘,A,41.3,41.3,제조업
토니모리,A,33.2,33.2,제조업
토박스코리아,A,15.1,15.1,도매 및 소매업
토비스,A,44.6,44.6,제조업
토탈소프트뱅크,A,20.4,20.4,정보통신업
토필드,A,53.6,53.6,제조업
톱텍,A,28.2,28.2,제조업
투비소프트,A,31.8,31.8,정보통신업
투에버,A,60,62.4,도매 및 소매업
투윈글로벌,A,60,69.2,정보통신업
툴젠,A,22.9,22.9,"전문, 과학 및 기술 서비스업"
트레이스,A,41.5,41.5,제조업
트루윈,A,40.5,40.5,제조업
특수건설,A,13.6,13.6,건설업
티로보틱스,A,32.6,32.6,제조업
티맥스소프트,A,38.3,38.3,정보통신업
티브로드,A,28.6,28.6,정보통신업
티비씨,A,12.2,12.2,정보통신업
티비에이치글로벌,A,25.3,25.3,제조업
티씨엠생명과학,A,38.5,38.5,"전문, 과학 및 기술 서비스업"
에스엔피제네틱스,A,-2.5,-2.5,"전문, 과학 및 기술 서비스업"
티에스아이,A,28.1,28.1,제조업
티에스엠텍,A,59.4,59.4,제조업
티에스이,A,31.4,31.4,제조업
티에스인베스트먼트,A,49.3,49.3,금융 및 보험업
티에이치엔,A,60,79.2,제조업
티웨이홀딩스,A,42.7,42.7,제조업
티이씨씨,A,38.1,38.1,제조업
티제이미디어,A,40.4,40.4,제조업
티케이케미칼,A,39.8,39.8,제조업
티플랙스,A,5,5,제조업
티피씨,A,19,19,제조업
티피씨메카트로닉스,A,29,29,제조업
틸론,A,17.7,17.7,정보통신업
팀스,A,44.8,44.8,제조업
팅크웨어,A,26.2,26.2,제조업
파나진,A,25.3,25.3,제조업
파라다이스,A,19.7,19.7,"예술, 스포츠 및 여가관련 서비스업"
파라텍,A,37.2,37.2,제조업
파루,A,36.5,36.5,제조업
파르나스호텔,A,29.4,29.4,숙박 및 음식점업
파마리서치프로덕트,A,19.6,19.6,도매 및 소매업
파멥신,A,18.5,18.5,"전문, 과학 및 기술 서비스업"
파미셀,A,41.5,41.5,제조업
파버나인,A,17.4,17.4,제조업
파세코,A,33.9,33.9,제조업
파수닷컴,A,17,17,정보통신업
파워넷,A,24.4,24.4,제조업
파워로직스,A,33.8,33.8,제조업
파이오링크,A,30.1,30.1,제조업
파인디앤씨,A,46.3,46.3,제조업
파인디지털,A,42.6,42.6,제조업
파인테크닉스,A,28.9,28.9,제조업
파인텍,A,35.6,35.6,제조업
핸즈코퍼레이션,A,-2.3,-2.3,제조업
파크시스템스,A,9.3,9.3,제조업
파트론,A,0.6,0.6,제조업
파티게임즈,A,41.5,41.5,정보통신업
팍스넷,A,24.5,24.5,정보통신업
판도라티비,A,20.3,20.3,정보통신업
판타지오,A,24.3,24.3,"예술, 스포츠 및 여가관련 서비스업"
케이알선물,A,-2.2,-2.2,금융 및 보험업
팜스코,A,43.9,43.9,제조업
팜스토리,A,38.9,38.9,제조업
팜한농,A,47.8,47.8,제조업
서플러스글로벌,A,-2,-2,도매 및 소매업
팬스타엔터프라이즈,A,0.6,0.6,제조업
팬엔터테인먼트,A,36.6,36.6,정보통신업
팬오션,A,29.2,29.2,운수 및 창고업
