countryName,countryCode,emissionPerCap,totalEmission,continent
일신석재,A,19.5,19.5,도매 및 소매업
일야,A,51.4,51.4,제조업
일양약품,A,26.1,26.1,제조업
일정실업,A,37.8,37.8,제조업
일지테크,A,18.7,18.7,제조업
일진다이아몬드,A,29.4,29.4,제조업
일진디스플레이,A,15.3,15.3,제조업
일진머티리얼즈,A,34,34,제조업
일진전기,A,41.5,41.5,제조업
일진파워,A,2.9,2.9,건설업
일진홀딩스,A,60,60.9,"전문, 과학 및 기술 서비스업"
잇츠한불,A,7.2,7.2,도매 및 소매업
잉크테크,A,29.2,29.2,제조업
자비스,A,50,50,제조업
자연과환경,A,31.8,31.8,"수도, 하수 및 폐기물 처리, 원료 재생업"
자유투어,A,17.1,17.1,"사업시설 관리, 사업 지원 및 임대 서비스업"
자이글,A,6.9,6.9,제조업
자일대우자동차판매,A,34.1,34.1,도매 및 소매업
자화전자,A,33.5,33.5,제조업
잘만테크,A,34.5,34.5,제조업
장원테크,A,35.1,35.1,제조업
재영솔루텍,A,38.8,38.8,제조업
전방,A,28.4,28.4,제조업
전북은행,A,27.3,27.3,금융 및 보험업
전우정밀,A,14,14,제조업
전진바이오팜,A,40.5,40.5,제조업
정다운,A,18.8,18.8,제조업
정산애강,A,26.1,26.1,제조업
정상제이엘에스,A,9.1,9.1,교육 서비스업
정우신약,A,28.3,28.3,제조업
정원엔시스,A,40.1,40.1,정보통신업
제낙스,A,5.5,5.5,제조업
제너셈,A,29.2,29.2,제조업
제넥신,A,17.4,17.4,"전문, 과학 및 기술 서비스업"
제노텍,A,0,0,제조업
제노포커스,A,22,22,제조업
제놀루션,A,12.4,12.4,제조업
제닉,A,36.1,36.1,제조업
제로투세븐,A,17.5,17.5,도매 및 소매업
제룡산업,A,22.3,22.3,제조업
제룡전기,A,27.5,27.5,제조업
제우스,A,21,21,제조업
제이더블유생명과학,A,5.9,5.9,제조업
제이더블유신약,A,21.6,21.6,제조업
제이브이엠,A,27.7,27.7,제조업
제이비우리캐피탈,A,47.7,47.7,금융 및 보험업
제이스테판,A,49.3,49.3,제조업
제이스텍,A,38.1,38.1,제조업
제이씨케미칼,A,23.3,23.3,제조업
제이씨현시스템,A,40.4,40.4,도매 및 소매업
제이에스코퍼레이션,A,27.6,27.6,제조업
제이에스피브이,A,39.9,39.9,제조업
제이엔케이히터,A,32.1,32.1,제조업
제이엠아이,A,35.6,35.6,제조업
제이엠티,A,7.8,7.8,제조업
제이와이피엔터테인먼트,A,7.5,7.5,정보통신업
제이웨이,A,39.9,39.9,정보통신업
제이준코스메틱,A,60,67.9,제조업
제이콘텐트리,A,14.4,14.4,금융 및 보험업
제이티,A,30.7,30.7,제조업
제이티비씨콘텐트허브,A,36.7,36.7,정보통신업
제이티캐피탈,A,25.9,25.9,금융 및 보험업
제일기획,A,24,24,"전문, 과학 및 기술 서비스업"
제일바이오,A,22.5,22.5,제조업
제일약품,A,29.2,29.2,제조업
제일연마공업,A,55.6,55.6,제조업
제일제강공업,A,54.6,54.6,제조업
제일테크노스,A,19.9,19.9,제조업
제일파마홀딩스,A,59.2,59.2,"전문, 과학 및 기술 서비스업"
제일홀딩스,A,15.4,15.4,금융 및 보험업
제주국제컨벤션센터,A,37.4,37.4,"사업시설 관리, 사업 지원 및 임대 서비스업"
제주반도체,A,45.2,45.2,제조업
제주은행,A,38.4,38.4,금융 및 보험업
제주항공,A,46.8,46.8,운수 및 창고업
젠큐릭스,A,30.7,30.7,제조업
젬백스&카엘,A,22,22,제조업
젬백스테크놀러지,A,32.7,32.7,제조업
조광아이엘아이,A,11.6,11.6,제조업
조광페인트,A,0,0,제조업
조비,A,42.9,42.9,제조업
조선내화,A,57.4,57.4,제조업
